序号,申请号/专利号/国际申请号/海牙转交编号,业务类型,票据抬头,统一社会信用代码,费用种类,外币金额,费用金额（人民币）,备注
1,2025203047164,实用新型,珠海星迪科技有限公司,91440400MA51NTT81D,实用新型专利第2年年费,,90.0,
2,2024231090357,实用新型,山东南西新型建材科技有限公司,91370881MA3NEM0N8A,实用新型专利第2年年费,,90.0,
3,202511950662X,发明,济南宝宸专利代理事务所（普通合伙）,91370112MA3Q6KR642,发明专利申请费,,135.0,
4,202511950662X,发明,济南宝宸专利代理事务所（普通合伙）,91370112MA3Q6KR642,公布印刷费,,50.0,
5,2025203623737,实用新型,山东中达威专用车辆有限公司,91370829MA3NNJ3MXA,实用新型专利第2年年费,,600.0,
